Starters,MP,FG,FGA,FG%,THREEP,THREEPA,THREEPX,FT,FTA,FTX,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUSMINUS
Luka Doncic,34:48:00,14,25,0.56,5,9,0.556,1,2,0.5,2,11,13,9,2,4,4,3,34,+14
Tim Hardaway,33:26:00,7,16,0.438,3,10,0.3,1,1,1,0,2,2,3,2,0,0,1,18,+8
Willie Cauley-Stein,29:46:00,2,2,1,0,0,,0,0,,3,11,14,2,1,3,2,1,4,+7
Wesley Iwundu,26:12:00,1,7,0.143,0,3,0,2,2,1,0,3,3,1,0,0,0,1,4,-10
Kristaps Porzingis,21:03,6,16,0.375,4,9,0.444,0,0,,0,4,4,0,0,2,0,3,16,+1
Trey Burke,32:23:00,2,12,0.167,2,8,0.25,2,3,0.667,1,1,2,4,1,0,1,2,8,+13
James Johnson,25:34:00,3,7,0.429,1,5,0.2,0,2,0,1,4,5,2,2,3,0,0,7,+7
Josh Green,18:03,2,4,0.5,0,2,0,1,4,0.25,3,2,5,1,0,0,2,3,5,+17
Boban Marjanovic,15:00,3,6,0.5,0,0,,2,2,1,3,2,5,0,0,0,0,1,8,+13
Tyler Bey,1:15,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
Nate Hinton,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
Tyrell Terry,1:15,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-5